exec_loc	Freq	dept_nm_lvl_2	to_id	from_id
（주）강가(서울 중구 세종대로 136)	33	언론홍보실	1	1
（주）강가(서울 중구 세종대로 136)	33	여성가족정책실	1	2
（주）강가(서울 중구 세종대로 136)	33	행정국	1	3
（주）강가(서울 중구 세종대로 136)	33	복지본부	1	4
（주）강가(서울 중구 세종대로 136)	33	일자리노동정책관	1	5
（주）강가(서울 중구 세종대로 136)	33	안전총괄본부	1	6
（주）강가(서울 중구 세종대로 136)	33	기획조정실	1	7
（주）강가(서울 중구 세종대로 136)	33	경제정책실	1	8
（주）달개비자연음식(서울 종로구 재동)	38	행정국	2	3
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	2	9
（주）달개비자연음식(서울 종로구 재동)	38	복지본부	2	4
（주）달개비자연음식(서울 종로구 재동)	38	시민소통기획관	2	10
（주）달개비자연음식(서울 종로구 재동)	38	기획조정실	2	7
（주）달개비자연음식(서울 종로구 재동)	38	여성가족정책실	2	2
（주）뚜리삼	30	기후환경본부	3	11
（주）뚜리삼	30	기획조정실	3	7
（주）뚜리삼	30	행정1부시장	3	12
（주）뚜리삼	30	주택건축국	3	13
（주）뚜리삼	30	서울특별시장	3	9
（주）뚜리삼	30	도시기반시설본부	3	14
（주）뚜리삼	30	행정국	3	3
（주）뚜리삼(서울 중구 청계천로 8)	63	서울혁신기획관	4	15
（주）뚜리삼(서울 중구 청계천로 8)	63	정보기획관	4	16
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	4	2
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	4	3
（주）뚜리삼(서울 중구 청계천로 8)	63	언론홍보실	4	1
（주）뚜리삼(서울 중구 청계천로 8)	63	복지본부	4	4
（주）뚜리삼(서울 중구 청계천로 8)	63	안전총괄본부	4	6
（주）뚜리삼(서울 중구 청계천로 8)	63	기획조정실	4	7
（주）뚜리삼(서울 중구 청계천로 8)	63	기후환경본부	4	11
（주）뚜리삼(서울 중구 청계천로 8)	63	서울특별시장	4	9
（주）뚜리삼(서울 중구 청계천로 8)	63	경제진흥본부	4	17
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	5	16
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	여성가족정책실	5	2
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	언론홍보실	5	1
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	교육전문위원실	5	18
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	5	11
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	복지본부	5	4
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	교육위원회	5	19
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	행정국	5	3
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	안전총괄본부	5	6
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	평생교육국	5	20
