Freq	to_id	from_id
33	to_1	from_1
33	to_1	from_2
33	to_1	from_3
33	to_1	from_4
33	to_1	from_5
33	to_1	from_6
33	to_1	from_7
33	to_1	from_8
38	to_2	from_3
38	to_2	from_9
38	to_2	from_4
38	to_2	from_10
38	to_2	from_7
38	to_2	from_2
30	to_3	from_11
30	to_3	from_7
30	to_3	from_12
30	to_3	from_13
30	to_3	from_9
30	to_3	from_14
30	to_3	from_3
63	to_4	from_15
63	to_4	from_16
63	to_4	from_2
63	to_4	from_3
63	to_4	from_1
63	to_4	from_4
63	to_4	from_6
63	to_4	from_7
63	to_4	from_11
63	to_4	from_9
63	to_4	from_17
66	to_5	from_16
66	to_5	from_2
66	to_5	from_1
66	to_5	from_18
66	to_5	from_11
66	to_5	from_4
66	to_5	from_19
66	to_5	from_3
66	to_5	from_6
66	to_5	from_20
66	to_5	from_15
66	to_5	from_21
66	to_5	from_7
66	to_5	from_5
66	to_5	from_22
45	to_6	from_11
45	to_6	from_21
45	to_6	from_7
45	to_6	from_23
45	to_6	from_24
45	to_6	from_25
45	to_6	from_26
45	to_6	from_14
45	to_6	from_3
104	to_7	from_15
104	to_7	from_27
104	to_7	from_3
104	to_7	from_11
104	to_7	from_2
104	to_7	from_4
104	to_7	from_21
104	to_7	from_28
104	to_7	from_24
104	to_7	from_18
104	to_7	from_20
104	to_7	from_9
104	to_7	from_10
33	to_8	from_3
33	to_8	from_2
33	to_8	from_5
33	to_8	from_28
33	to_8	from_16
33	to_8	from_10
33	to_8	from_6
33	to_8	from_7
33	to_8	from_29
33	to_8	from_1
49	to_9	from_1
49	to_9	from_3
49	to_9	from_2
49	to_9	from_16
49	to_9	from_15
49	to_9	from_6
49	to_9	from_20
49	to_9	from_7
31	to_10	from_30
32	to_11	from_7
32	to_11	from_3
32	to_11	from_11
32	to_11	from_31
32	to_11	from_12
32	to_11	from_14
32	to_11	from_25
65	to_12	from_32
65	to_12	from_6
65	to_12	from_33
65	to_12	from_14
65	to_12	from_34
65	to_12	from_17
65	to_12	from_4
65	to_12	from_26
65	to_12	from_35
65	to_12	from_3
65	to_12	from_36
65	to_12	from_37
65	to_12	from_38
31	to_13	from_39
31	to_13	from_15
31	to_13	from_35
31	to_13	from_4
31	to_13	from_14
31	to_13	from_40
31	to_13	from_6
31	to_13	from_32
31	to_13	from_7
31	to_13	from_13
31	to_13	from_41
31	to_13	from_37
31	to_13	from_42
59	to_14	from_17
59	to_14	from_43
59	to_14	from_41
59	to_14	from_36
59	to_14	from_7
59	to_14	from_13
119	to_15	from_7
119	to_15	from_15
119	to_15	from_1
119	to_15	from_2
119	to_15	from_4
119	to_15	from_36
119	to_15	from_11
119	to_15	from_3
119	to_15	from_38
119	to_15	from_6
119	to_15	from_20
119	to_15	from_10
119	to_15	from_5
119	to_15	from_28
119	to_15	from_16
119	to_15	from_17
119	to_15	from_44
119	to_15	from_8
36	to_16	from_39
36	to_16	from_5
36	to_16	from_10
36	to_16	from_31
36	to_16	from_6
36	to_16	from_35
36	to_16	from_14
36	to_16	from_32
36	to_16	from_7
36	to_16	from_17
36	to_16	from_3
36	to_16	from_33
36	to_16	from_45
36	to_16	from_46
36	to_16	from_47
36	to_16	from_48
34	to_17	from_37
34	to_17	from_6
34	to_17	from_4
34	to_17	from_17
34	to_17	from_14
34	to_17	from_38
34	to_17	from_32
34	to_17	from_45
34	to_17	from_34
34	to_17	from_20
86	to_18	from_15
86	to_18	from_2
86	to_18	from_7
86	to_18	from_3
86	to_18	from_36
86	to_18	from_38
86	to_18	from_11
86	to_18	from_20
86	to_18	from_28
86	to_18	from_6
86	to_18	from_5
86	to_18	from_1
86	to_18	from_13
86	to_18	from_17
86	to_18	from_10
86	to_18	from_16
86	to_18	from_22
86	to_18	from_44
86	to_18	from_29
34	to_19	from_3
34	to_19	from_28
34	to_19	from_10
34	to_19	from_20
34	to_19	from_16
34	to_19	from_2
34	to_19	from_41
34	to_19	from_12
34	to_19	from_27
30	to_20	from_45
30	to_20	from_4
30	to_20	from_5
30	to_20	from_11
30	to_20	from_39
30	to_20	from_32
30	to_20	from_26
30	to_20	from_33
30	to_20	from_6
30	to_20	from_17
30	to_20	from_49
30	to_20	from_31
30	to_20	from_20
30	to_20	from_50
30	to_20	from_3
34	to_21	from_16
34	to_21	from_35
34	to_21	from_2
34	to_21	from_51
34	to_21	from_34
34	to_21	from_32
34	to_21	from_13
34	to_21	from_6
34	to_21	from_52
34	to_21	from_39
34	to_21	from_7
34	to_21	from_26
34	to_21	from_15
37	to_22	from_32
37	to_22	from_35
37	to_22	from_25
37	to_22	from_53
34	to_23	from_54
32	to_24	from_4
32	to_24	from_10
32	to_24	from_3
32	to_24	from_15
32	to_24	from_2
32	to_24	from_5
32	to_24	from_28
32	to_24	from_7
32	to_24	from_9
32	to_24	from_44
31	to_25	from_51
31	to_25	from_10
31	to_25	from_13
31	to_25	from_34
31	to_25	from_2
40	to_26	from_11
40	to_26	from_20
135	to_27	from_31
135	to_27	from_12
135	to_27	from_6
40	to_28	from_15
40	to_28	from_2
40	to_28	from_3
40	to_28	from_6
40	to_28	from_5
40	to_28	from_7
40	to_28	from_28
40	to_28	from_10
32	to_29	from_14
32	to_29	from_32
32	to_29	from_55
32	to_29	from_38
32	to_29	from_33
32	to_29	from_56
32	to_29	from_37
32	to_29	from_57
32	to_29	from_43
32	to_29	from_58
32	to_29	from_7
32	to_29	from_39
32	to_29	from_34
32	to_29	from_4
32	to_29	from_17
52	to_30	from_15
52	to_30	from_1
52	to_30	from_2
52	to_30	from_5
52	to_30	from_7
52	to_30	from_3
52	to_30	from_16
52	to_30	from_28
52	to_30	from_6
52	to_30	from_19
52	to_30	from_10
52	to_30	from_48
37	to_31	from_7
37	to_31	from_5
37	to_31	from_13
37	to_31	from_35
37	to_31	from_32
37	to_31	from_3
37	to_31	from_39
37	to_31	from_20
37	to_31	from_6
37	to_31	from_33
37	to_31	from_59
37	to_31	from_17
37	to_31	from_57
37	to_31	from_60
37	to_31	from_26
37	to_31	from_48
53	to_32	from_3
53	to_32	from_39
53	to_32	from_51
53	to_32	from_12
53	to_32	from_10
53	to_32	from_28
53	to_32	from_34
53	to_32	from_16
31	to_33	from_26
31	to_33	from_43
31	to_33	from_40
31	to_33	from_39
31	to_33	from_17
31	to_33	from_61
37	to_34	from_40
37	to_34	from_11
37	to_34	from_14
37	to_34	from_13
37	to_34	from_37
37	to_34	from_62
37	to_34	from_39
37	to_34	from_15
37	to_34	from_34
37	to_34	from_3
35	to_35	from_61
35	to_35	from_17
35	to_35	from_32
35	to_35	from_3
35	to_35	from_43
35	to_35	from_14
35	to_35	from_39
39	to_36	from_39
39	to_36	from_36
39	to_36	from_34
39	to_36	from_51
39	to_36	from_63
39	to_36	from_10
39	to_36	from_16
39	to_36	from_62
39	to_36	from_64
39	to_36	from_27
30	to_37	from_9
30	to_37	from_55
30	to_37	from_45
30	to_37	from_3
30	to_37	from_17
30	to_37	from_43
30	to_37	from_7
30	to_37	from_4
30	to_37	from_13
30	to_37	from_39
30	to_37	from_32
30	to_37	from_65
185	to_38	from_15
185	to_38	from_4
185	to_38	from_1
185	to_38	from_7
185	to_38	from_2
185	to_38	from_36
185	to_38	from_3
185	to_38	from_38
185	to_38	from_16
185	to_38	from_5
185	to_38	from_6
185	to_38	from_20
185	to_38	from_10
185	to_38	from_28
185	to_38	from_17
185	to_38	from_64
185	to_38	from_9
68	to_39	from_31
68	to_39	from_10
68	to_39	from_7
68	to_39	from_15
68	to_39	from_39
68	to_39	from_33
68	to_39	from_17
68	to_39	from_3
68	to_39	from_32
68	to_39	from_4
68	to_39	from_6
68	to_39	from_50
33	to_40	from_10
33	to_40	from_28
33	to_40	from_20
33	to_40	from_64
