"","exec_loc","Freq","dept_nm_lvl_2","to_id","from_id"
"1","135동원브이아",10,"도시재생본부","to_1","from_1"
"2","135동원브이아",10,"도시재생실","to_1","from_2"
"3","2Thirsty",27,"행정국","to_2","from_3"
"4","2Thirsty",27,"기획조정실","to_2","from_4"
"5","2Thirsty",27,"서울혁신기획관","to_2","from_5"
"6","2Thirsty",27,"시민소통기획관","to_2","from_6"
"7","2Thirsty",27,"푸른도시국","to_2","from_7"
"8","2Thirsty",27,"경제진흥본부","to_2","from_8"
"9","2Thirsty",27,"일자리노동정책관","to_2","from_9"
"10","2Thirsty",27,"재무국","to_2","from_10"
"11","2Thirsty",27,"대변인","to_2","from_11"
"12","2Thirsty",27,"정무부시장","to_2","from_12"
"13","2Thirsty",27,"노동민생정책관","to_2","from_13"
"14","2Thirsty",27,"경제정책실","to_2","from_14"
"15","2대복집",16,"정보기획관","to_3","from_15"
"16","2대복집",16,"시립미술관","to_3","from_16"
"17","2대복집",16,"도로사업소","to_3","from_17"
"18","2대복집",16,"행정자치전문위원실","to_3","from_18"
"19","2대복집",16,"기후환경본부","to_3","from_19"
"20","2대복집",16,"도시교통본부","to_3","from_20"
"21","2대복집",16,"감사위원회","to_3","from_21"
"22","2대복집",16,"도시교통실","to_3","from_22"
"23","55번가",16,"정무부시장","to_4","from_12"
"24","55번가",16,"지역발전본부","to_4","from_23"
"25","55번가",16,"기획조정실","to_4","from_4"
"26","55번가",16,"주택건축국","to_4","from_24"
"27","55번가",16,"문화본부","to_4","from_25"
"28","55번가",16,"관광체육국","to_4","from_26"
"29","55번가",16,"예산정책담당관","to_4","from_27"
"30","55번가",16,"기후환경본부","to_4","from_19"
"31","55번가",16,"도시재생본부","to_4","from_1"
"32","55번가",16,"행정1부시장","to_4","from_28"
"33","55번가",16,"행정국","to_4","from_3"
"34","55번가",16,"문화체육관광전문위원실","to_4","from_29"
"35","55번가",16,"도시계획국","to_4","from_30"
"36","55번가",16,"기획경제전문위원실","to_4","from_31"
"37","55번가",16,"도시교통본부","to_4","from_20"
"38","５５번가",11,"행정국","to_5","from_3"
"39","５５번가",11,"기후환경본부","to_5","from_19"
"40","５５번가",11,"정무부시장","to_5","from_12"
"41","５５번가",11,"재무국","to_5","from_10"
"42","５５번가",11,"대변인","to_5","from_11"
"43","５５번가",11,"입법담당관","to_5","from_32"
"44","５５번가",11,"관광체육국","to_5","from_26"
"45","91홈플러스익스프레스",14,"서울역사박물관","to_6","from_33"
"46","ＢＫＲ버거킹시청역점",15,"기후환경본부","to_7","from_19"
"47","ＢＫＲ버거킹시청역점",15,"평생교육국","to_7","from_34"
"48","ＢＫＲ버거킹시청역점",15,"정보기획관","to_7","from_15"
"49","ＢＫＲ버거킹시청역점",15,"입법담당관","to_7","from_32"
"50","ＢＫＲ버거킹시청역점",15,"관광체육국","to_7","from_26"
"51","ＤＳ기업",11,"주택건축국","to_8","from_24"
"52","ＥＮＡ스위트호텔",13,"평생교육국","to_9","from_34"
"53","ＥＮＡ스위트호텔",13,"재무국","to_9","from_10"
"54","ＥＵＲＯＧＯＵＲＭＥ",41,"행정국","to_10","from_3"
"55","ＥＵＲＯＧＯＵＲＭＥ",41,"여성가족정책실","to_10","from_35"
"56","ＥＵＲＯＧＯＵＲＭＥ",41,"재무국","to_10","from_10"
"57","ＥＵＲＯＧＯＵＲＭＥ",41,"기획조정실","to_10","from_4"
"58","ＥＵＲＯＧＯＵＲＭＥ",41,"경제진흥본부","to_10","from_8"
"59","ＥＵＲＯＧＯＵＲＭＥ",41,"정보기획관","to_10","from_15"
"60","ＥＵＲＯＧＯＵＲＭＥ",41,"주택건축국","to_10","from_24"
"61","ＥＵＲＯＧＯＵＲＭＥ",41,"서울혁신기획관","to_10","from_5"
"62","ＥＵＲＯＧＯＵＲＭＥ",41,"안전총괄본부","to_10","from_36"
"63","ＥＵＲＯＧＯＵＲＭＥ",41,"평생교육국","to_10","from_34"
"64","ＥＵＲＯＧＯＵＲＭＥ",41,"일자리노동정책관","to_10","from_9"
"65","ＥＵＲＯＧＯＵＲＭＥ",41,"정무부시장","to_10","from_12"
"66","ＥＵＲＯＧＯＵＲＭＥ",41,"시민소통기획관","to_10","from_6"
"67","ＥＵＲＯＧＯＵＲＭＥ",41,"관광체육국","to_10","from_26"
"68","ＥＵＲＯＧＯＵＲＭＥ",41,"경제정책실","to_10","from_14"
"69","e편한마트",32,"상수도사업본부","to_11","from_37"
"70","GS25",15,"도시계획국","to_12","from_30"
"71","GS25",15,"한강사업본부","to_12","from_38"
"72","GS25",15,"정보기획관","to_12","from_15"
"73","GS25",15,"지역발전본부","to_12","from_23"
"74","GS25",15,"도시교통본부","to_12","from_20"
"75","GS25",15,"서부공원녹지사업소","to_12","from_39"
"76","GS25",15,"시민소통기획관","to_12","from_6"
"77","GS25",15,"주택건축국","to_12","from_24"
"78","GS25",15,"서울혁신기획관","to_12","from_5"
"79","GS25",15,"시민건강국","to_12","from_40"
"80","GS25",15,"푸른도시국","to_12","from_7"
"81","GS25",15,"복지정책실","to_12","from_41"
"82","GS슈퍼마켓",10,"도로사업소","to_13","from_17"
