exec_loc	Freq	dept_nm_lvl_2	exec_amount
（주）강가(서울 중구 세종대로 136)	33	언론홍보실	232000
（주）강가(서울 중구 세종대로 136)	33	여성가족정책실	110000
（주）강가(서울 중구 세종대로 136)	33	행정국	46400
（주）강가(서울 중구 세종대로 136)	33	행정국	103000
（주）강가(서울 중구 세종대로 136)	33	여성가족정책실	137600
（주）강가(서울 중구 세종대로 136)	33	행정국	97600
（주）강가(서울 중구 세종대로 136)	33	복지본부	63300
（주）강가(서울 중구 세종대로 136)	33	복지본부	108200
（주）강가(서울 중구 세종대로 136)	33	일자리노동정책관	122500
（주）강가(서울 중구 세종대로 136)	33	일자리노동정책관	162600
（주）강가(서울 중구 세종대로 136)	33	행정국	145000
（주）강가(서울 중구 세종대로 136)	33	행정국	97500
（주）강가(서울 중구 세종대로 136)	33	일자리노동정책관	104300
（주）강가(서울 중구 세종대로 136)	33	여성가족정책실	179700
（주）강가(서울 중구 세종대로 136)	33	안전총괄본부	348000
（주）강가(서울 중구 세종대로 136)	33	언론홍보실	86700
（주）강가(서울 중구 세종대로 136)	33	행정국	194700
（주）강가(서울 중구 세종대로 136)	33	행정국	67400
（주）강가(서울 중구 세종대로 136)	33	행정국	78500
（주）강가(서울 중구 세종대로 136)	33	여성가족정책실	210600
（주）강가(서울 중구 세종대로 136)	33	행정국	102900
（주）강가(서울 중구 세종대로 136)	33	행정국	70300
（주）강가(서울 중구 세종대로 136)	33	기획조정실	97900
（주）강가(서울 중구 세종대로 136)	33	기획조정실	187100
（주）강가(서울 중구 세종대로 136)	33	일자리노동정책관	79000
（주）강가(서울 중구 세종대로 136)	33	행정국	58000
（주）강가(서울 중구 세종대로 136)	33	행정국	87000
（주）강가(서울 중구 세종대로 136)	33	여성가족정책실	498000
（주）강가(서울 중구 세종대로 136)	33	기획조정실	203000
（주）강가(서울 중구 세종대로 136)	33	기획조정실	92200
（주）강가(서울 중구 세종대로 136)	33	경제정책실	116000
（주）강가(서울 중구 세종대로 136)	33	기획조정실	105200
（주）달개비자연음식(서울 종로구 재동)	38	행정국	450000
（주）달개비자연음식(서울 종로구 재동)	38	행정국	91000
（주）달개비자연음식(서울 종로구 재동)	38	행정국	89100
（주）달개비자연음식(서울 종로구 재동)	38	행정국	173500
（주）달개비자연음식(서울 종로구 재동)	38	행정국	82500
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	59400
（주）달개비자연음식(서울 종로구 재동)	38	복지본부	161800
（주）달개비자연음식(서울 종로구 재동)	38	시민소통기획관	445500
（주）달개비자연음식(서울 종로구 재동)	38	행정국	175000
（주）달개비자연음식(서울 종로구 재동)	38	행정국	69400
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	100000
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	480000
（주）달개비자연음식(서울 종로구 재동)	38	기획조정실	214000
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	64500
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	236500
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	45000
（주）달개비자연음식(서울 종로구 재동)	38	행정국	146200
（주）달개비자연음식(서울 종로구 재동)	38	행정국	237600
（주）달개비자연음식(서울 종로구 재동)	38	행정국	180000
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	314500
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	178200
（주）달개비자연음식(서울 종로구 재동)	38	시민소통기획관	264000
（주）달개비자연음식(서울 종로구 재동)	38	시민소통기획관	69400
（주）달개비자연음식(서울 종로구 재동)	38	시민소통기획관	197500
（주）달개비자연음식(서울 종로구 재동)	38	서울특별시장	89100
（주）달개비자연음식(서울 종로구 재동)	38	행정국	48000
（주）달개비자연음식(서울 종로구 재동)	38	행정국	292300
（주）달개비자연음식(서울 종로구 재동)	38	여성가족정책실	92000
（주）달개비자연음식(서울 종로구 재동)	38	여성가족정책실	308000
（주）달개비자연음식(서울 종로구 재동)	38	여성가족정책실	126000
（주）달개비자연음식(서울 종로구 재동)	38	여성가족정책실	16200
（주）달개비자연음식(서울 종로구 재동)	38	여성가족정책실	211600
（주）달개비자연음식(서울 종로구 재동)	38	여성가족정책실	69400
（주）뚜리삼	30	기후환경본부	205000
（주）뚜리삼	30	기획조정실	72000
（주）뚜리삼	30	행정1부시장	72000
（주）뚜리삼	30	행정1부시장	150000
（주）뚜리삼	30	기획조정실	94000
（주）뚜리삼	30	기획조정실	86000
（주）뚜리삼	30	행정1부시장	90000
（주）뚜리삼	30	행정1부시장	288000
（주）뚜리삼	30	행정1부시장	480000
（주）뚜리삼	30	기획조정실	54000
（주）뚜리삼	30	기획조정실	68000
（주）뚜리삼	30	기획조정실	98000
（주）뚜리삼	30	기획조정실	145000
（주）뚜리삼	30	주택건축국	90000
（주）뚜리삼	30	기획조정실	126000
（주）뚜리삼	30	서울특별시장	462000
（주）뚜리삼	30	기획조정실	120000
（주）뚜리삼	30	기획조정실	90000
（주）뚜리삼	30	도시기반시설본부	395000
（주）뚜리삼	30	도시기반시설본부	496000
（주）뚜리삼	30	도시기반시설본부	54000
（주）뚜리삼	30	도시기반시설본부	450000
（주）뚜리삼	30	서울특별시장	94000
（주）뚜리삼	30	행정국	208000
（주）뚜리삼	30	행정국	166000
（주）뚜리삼	30	행정국	168000
（주）뚜리삼(서울 중구 청계천로 8)	63	서울혁신기획관	122000
（주）뚜리삼(서울 중구 청계천로 8)	63	서울혁신기획관	114000
（주）뚜리삼(서울 중구 청계천로 8)	63	정보기획관	286000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	326000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	289000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	36000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	259000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	198000
（주）뚜리삼(서울 중구 청계천로 8)	63	언론홍보실	116000
（주）뚜리삼(서울 중구 청계천로 8)	63	언론홍보실	110000
（주）뚜리삼(서울 중구 청계천로 8)	63	복지본부	138000
（주）뚜리삼(서울 중구 청계천로 8)	63	서울혁신기획관	104000
（주）뚜리삼(서울 중구 청계천로 8)	63	서울혁신기획관	221000
（주）뚜리삼(서울 중구 청계천로 8)	63	서울혁신기획관	90000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	162000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	420000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	480000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	240000
（주）뚜리삼(서울 중구 청계천로 8)	63	정보기획관	457000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	314000
（주）뚜리삼(서울 중구 청계천로 8)	63	안전총괄본부	241000
（주）뚜리삼(서울 중구 청계천로 8)	63	서울혁신기획관	134000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	284000
（주）뚜리삼(서울 중구 청계천로 8)	63	서울혁신기획관	210000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	108000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	223000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	115000
（주）뚜리삼(서울 중구 청계천로 8)	63	안전총괄본부	252000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	226000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	123000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	216000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	188000
（주）뚜리삼(서울 중구 청계천로 8)	63	기획조정실	188000
（주）뚜리삼(서울 중구 청계천로 8)	63	기후환경본부	54000
（주）뚜리삼(서울 중구 청계천로 8)	63	안전총괄본부	138000
（주）뚜리삼(서울 중구 청계천로 8)	63	기획조정실	207000
（주）뚜리삼(서울 중구 청계천로 8)	63	기획조정실	210000
（주）뚜리삼(서울 중구 청계천로 8)	63	서울특별시장	877000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	104000
（주）뚜리삼(서울 중구 청계천로 8)	63	경제진흥본부	114000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	402000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	187000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	154000
（주）뚜리삼(서울 중구 청계천로 8)	63	행정국	84000
（주）뚜리삼(서울 중구 청계천로 8)	63	안전총괄본부	164000
（주）뚜리삼(서울 중구 청계천로 8)	63	안전총괄본부	82000
（주）뚜리삼(서울 중구 청계천로 8)	63	기획조정실	38000
（주）뚜리삼(서울 중구 청계천로 8)	63	정보기획관	119000
（주）뚜리삼(서울 중구 청계천로 8)	63	서울특별시장	408000
（주）뚜리삼(서울 중구 청계천로 8)	63	안전총괄본부	401000
（주）뚜리삼(서울 중구 청계천로 8)	63	경제진흥본부	154000
（주）뚜리삼(서울 중구 청계천로 8)	63	기획조정실	120000
（주）뚜리삼(서울 중구 청계천로 8)	63	기획조정실	108000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	110000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	35000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	45000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	152100
（주）뚜리삼(서울 중구 청계천로 8)	63	기획조정실	134000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	80400
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	350000
（주）뚜리삼(서울 중구 청계천로 8)	63	여성가족정책실	480000
（주）뚜리삼(서울 중구 청계천로 8)	63	안전총괄본부	109000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	221000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	여성가족정책실	171000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	여성가족정책실	200000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	언론홍보실	60000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	언론홍보실	54000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	170000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	교육전문위원실	58000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	54000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	231000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	112000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	99000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	108000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	50000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	복지본부	124000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	87000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	285000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	125000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	175000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	187000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	32000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	162000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	언론홍보실	115000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	150000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	여성가족정책실	100000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	교육위원회	450000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	정보기획관	215000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	행정국	117000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	안전총괄본부	180000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	안전총괄본부	245000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	평생교육국	32000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	평생교육국	18000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	서울혁신기획관	150000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	125000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	151000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	환경수자원전문위원실	111000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기획조정실	56000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	일자리노동정책관	165000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	200000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	260000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	여성가족정책실	125000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	안전총괄본부	176000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기획조정실	119000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	평생교육국	175000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	행정국	68000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	행정국	165000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	안전총괄본부	168000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	안전총괄본부	275000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기획조정실	118000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기획조정실	75000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	일자리노동정책관	77000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	행정국	112000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	행정국	250000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	평생교육국	75000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	100000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	250000
（주）바닷가작은부엌(서울 중구 덕수궁길 7)	66	기후환경본부	134000
